(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Wahlkreisen;;;;;;;;;;;;;;;;
Status:;Endgültig;;;;;;;;;;;;;;;
Stand:;14.03.2025;10:50;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung;Gewählt
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BÜNDNIS DEUTSCHLAND;26;1;87955;0,177668;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BÜNDNIS DEUTSCHLAND;26;2;76372;0,153822;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BSW;27;1;299401;0,604785;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;BSW;27;2;2472947;4,980808;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MERA25;28;1;658;0,001329;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;MERA25;28;2;6994;0,014087;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;WerteUnion;29;1;2849;0,005755;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Partei;WerteUnion;29;2;6736;0,013567;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;Einzelbewerber/Wählergruppe;Einzelbewerber/Wählergruppe;30;1;70163;0,141728;;;;;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Übrige;1000;1;;;180546;0,390633;;-0,390633;;
BT;23.02.2025;Bund;99;Bundesgebiet;;;System-Gruppe;Übrige;1000;2;;;249620;0,539155;;-0,539155;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Wahlberechtigte;-4;;2262811;;2272717;;-0,435866;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Wählende;-3;;1889968;83,523016;1776145;78,150733;6,408429;5,372283;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Ungültige;-2;1;13739;0,726944;16132;0,908259;-14,833871;-0,181316;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Ungültige;-2;2;9963;0,527152;13391;0,753936;-25,599283;-0,226784;;
